time,x,y,H
0.209,5.3416,1361.06,11.167
0.21,5.20688,1359.77,11.1673
0.211,5.07569,1358.48,11.1677
0.212,4.94793,1357.19,11.168
0.213,4.82352,1355.9,11.1683
0.214,4.70237,1354.61,11.1686
0.215,4.58437,1353.32,11.1689
0.216,4.46946,1352.03,11.1693
0.217,4.35754,1350.74,11.1696
0.218,4.24854,1349.44,11.1699
0.219,4.14237,1348.15,11.1702
0.22,4.03897,1346.86,11.1705
0.221,3.93825,1345.57,11.1709
0.222,3.84014,1344.27,11.1712
0.223,3.74458,1342.98,11.1715
0.224,3.65149,1341.69,11.1718
0.225,3.56081,1340.4,11.1721
0.226,3.47247,1339.1,11.1724
0.227,3.38642,1337.81,11.1727
0.228,3.30258,1336.52,11.1731
0.229,3.22091,1335.23,11.1734
0.23,3.14134,1333.93,11.1737
0.231,3.06381,1332.64,11.174
0.232,2.98828,1331.35,11.1743
0.233,2.91469,1330.06,11.1746
0.234,2.84298,1328.77,11.1749
0.235,2.77312,1327.48,11.1752
0.236,2.70504,1326.19,11.1755
0.237,2.6387,1324.9,11.1758
0.238,2.57406,1323.61,11.1761
0.239,2.51106,1322.32,11.1765
0.24,2.44968,1321.03,11.1768
0.241,2.38986,1319.74,11.1771
0.242,2.33156,1318.45,11.1774
0.243,2.27474,1317.16,11.1777
0.244,2.21936,1315.88,11.178
0.245,2.16539,1314.59,11.1783
0.246,2.11279,1313.3,11.1786
0.247,2.06152,1312.02,11.1789
0.248,2.01155,1310.73,11.1792
0.249,1.96284,1309.45,11.1795
0.25,1.91536,1308.16,11.1798
0.251,1.86908,1306.88,11.1801
0.252,1.82397,1305.6,11.1804
0.253,1.77999,1304.32,11.1807
0.254,1.73711,1303.04,11.181
0.255,1.69532,1301.76,11.1812
0.256,1.65457,1300.48,11.1815
0.257,1.61485,1299.2,11.1818
0.258,1.57611,1297.92,11.1821
0.259,1.53835,1296.64,11.1824
0.26,1.50154,1295.36,11.1827
0.261,1.46564,1294.09,11.183
0.262,1.43064,1292.81,11.1833
0.263,1.39651,1291.54,11.1836
0.264,1.36323,1290.27,11.1839
0.265,1.33078,1288.99,11.1842
0.266,1.29913,1287.72,11.1845
0.267,1.26827,1286.45,11.1847
0.268,1.23817,1285.18,11.185
0.269,1.20883,1283.91,11.1853
0.27,1.1802,1282.64,11.1856
0.271,1.15229,1281.37,11.1859
0.272,1.12506,1280.11,11.1862
0.273,1.09851,1278.84,11.1865
0.274,1.07261,1277.58,11.1867
0.275,1.04735,1276.31,11.187
0.276,1.02271,1275.05,11.1873
0.277,0.998672,1273.79,11.1876
0.278,0.975228,1272.53,11.1879
0.279,0.952358,1271.27,11.1881
0.28,0.930049,1270.01,11.1884
0.281,0.908285,1268.75,11.1887
0.282,0.887054,1267.49,11.189
0.283,0.866342,1266.24,11.1893
0.284,0.846134,1264.98,11.1895
0.285,0.82642,1263.73,11.1898
0.286,0.807185,1262.47,11.1901
0.287,0.788419,1261.22,11.1904
0.288,0.770108,1259.97,11.1906
0.289,0.752242,1258.72,11.1909
0.29,0.734809,1257.47,11.1912
0.291,0.717799,1256.22,11.1915
